ID_LOJA,ENDERECO,FAT_BRUTO,FAT_LIQUIDO
1,AVENIDA RAJA GABAGLIA,180952.0,19765.0
2,RUA ESPÍRITO SANTO,165656.0,18430.0
3,RUA DOS EXPEDICIONÁRIOS,160363.0,17522.0
4,RUA MARECHAL HERMES,165051.0,18567.0
5,RUA JURUNA,171135.0,18726.0
6,RUA MARIA PEREIRA DE ARAÚJO,155853.0,17386.0
7,RUA ESPÍRITO SANTO,156676.0,17708.0
8,RUA MATIPÓ,176784.0,19090.0
9,RUA PITANGUI,177526.0,19264.0
10,AVENIDA DOS BANDEIRANTES,156706.0,18450.0
11,AVENIDA BIAS FORTES,162879.0,18615.0
12,RUA MAESTRO DELÊ ANDRADE,189015.0,20049.0
13,RUA BOM DESPACHO,171974.0,19012.0
14,RUA CURITIBA,153305.0,17119.0
15,RUA ALVARENGA PEIXOTO,140165.0,16354.0
16,RUA CARLOS SCHETTINO ,165430.0,18189.0
17,RUA BARÃO DE COCAIS,187907.0,20597.0
18,RUA JOÃO CALVINO,154833.0,17665.0
19,RUA ARARAQUARA ,174489.0,19284.0
20,RUA AUGUSTO JOSÉ DE ARAÚJO,160540.0,18262.0
